t_s,pending,active,idle
0.0,0.0,0.0,2.0
1.0,0.0,0.0,2.0
2.0,0.0,0.0,2.0
3.0,0.0,0.0,2.0
4.0,0.0,0.0,2.0
5.1,0.0,0.0,2.0
6.1,0.0,0.0,2.0
7.1,0.0,0.0,2.0
8.1,0.0,0.0,2.0
9.1,0.0,0.0,2.0
10.1,0.0,0.0,2.0
11.1,0.0,0.0,2.0
12.1,0.0,0.0,2.0
13.1,0.0,0.0,2.0
14.1,0.0,0.0,2.0
15.2,0.0,0.0,2.0
16.2,0.0,0.0,2.0
17.2,0.0,0.0,2.0
18.2,0.0,0.0,2.0
19.2,1.0,2.0,0.0
20.2,10.0,2.0,0.0
21.2,18.0,2.0,0.0
22.2,32.0,2.0,0.0
23.2,40.0,2.0,0.0
24.3,40.0,2.0,0.0
25.3,40.0,2.0,0.0
26.3,42.0,2.0,0.0
27.3,40.0,2.0,0.0
28.3,38.0,2.0,0.0
29.3,40.0,2.0,0.0
30.3,40.0,2.0,0.0
31.3,41.0,2.0,0.0
32.3,40.0,2.0,0.0
33.3,40.0,2.0,0.0
34.4,39.0,2.0,0.0
35.4,40.0,2.0,0.0
36.4,43.0,2.0,0.0
37.4,41.0,2.0,0.0
38.4,42.0,2.0,0.0
39.4,42.0,2.0,0.0
40.4,40.0,2.0,0.0
41.4,40.0,2.0,0.0
42.4,40.0,2.0,0.0
43.4,40.0,2.0,0.0
44.5,40.0,2.0,0.0
45.5,42.0,2.0,0.0
46.5,39.0,2.0,0.0
47.5,40.0,2.0,0.0
48.5,39.0,2.0,0.0
49.5,42.0,2.0,0.0
50.5,42.0,1.0,1.0
51.5,40.0,2.0,0.0
52.5,40.0,2.0,0.0
53.5,40.0,2.0,0.0
54.5,40.0,2.0,0.0
55.6,39.0,2.0,0.0
56.6,41.0,2.0,0.0
57.6,39.0,2.0,0.0
58.6,43.0,2.0,0.0
59.6,39.0,2.0,0.0
60.6,41.0,2.0,0.0
61.6,41.0,2.0,0.0
62.6,39.0,2.0,0.0
63.6,39.0,2.0,0.0
64.6,41.0,2.0,0.0
65.7,41.0,2.0,0.0
66.7,38.0,2.0,0.0
67.7,39.0,2.0,0.0
68.7,41.0,2.0,0.0
69.7,39.0,2.0,0.0
70.7,41.0,2.0,0.0
71.7,40.0,2.0,0.0
72.7,38.0,2.0,0.0
73.7,42.0,2.0,0.0
74.7,41.0,2.0,0.0
75.7,39.0,2.0,0.0
76.7,41.0,2.0,0.0
77.7,39.0,2.0,0.0
78.8,38.0,2.0,0.0
79.8,40.0,2.0,0.0
80.8,40.0,2.0,0.0
81.8,40.0,2.0,0.0
82.8,40.0,2.0,0.0
83.8,41.0,2.0,0.0
84.8,38.0,2.0,0.0
85.8,41.0,2.0,0.0
86.8,41.0,2.0,0.0
87.8,40.0,2.0,0.0
88.8,39.0,2.0,0.0
89.8,40.0,2.0,0.0
90.8,38.0,2.0,0.0
91.9,40.0,2.0,0.0
92.9,42.0,2.0,0.0
93.9,41.0,2.0,0.0
94.9,39.0,2.0,0.0
95.9,41.0,2.0,0.0
96.9,40.0,2.0,0.0
97.9,42.0,2.0,0.0
98.9,42.0,2.0,0.0
99.9,39.0,2.0,0.0
