t_s,pending,active,idle
0.0,0.0,0.0,10.0
1.0,0.0,0.0,10.0
2.0,0.0,0.0,10.0
3.0,0.0,0.0,10.0
4.0,0.0,0.0,10.0
5.0,0.0,0.0,10.0
6.0,0.0,0.0,10.0
7.0,0.0,0.0,10.0
8.0,0.0,0.0,10.0
9.0,0.0,0.0,10.0
10.1,0.0,0.0,10.0
11.1,0.0,0.0,10.0
12.1,0.0,0.0,10.0
13.1,0.0,0.0,10.0
14.1,0.0,0.0,10.0
15.1,0.0,0.0,10.0
16.1,0.0,3.0,7.0
17.1,0.0,3.0,7.0
18.1,0.0,7.0,3.0
19.1,2.0,10.0,0.0
20.1,0.0,9.0,1.0
21.1,1.0,10.0,0.0
22.1,3.0,10.0,0.0
23.1,1.0,10.0,0.0
24.1,3.0,10.0,0.0
25.1,0.0,7.0,3.0
26.1,0.0,10.0,0.0
27.1,9.0,10.0,0.0
28.1,2.0,10.0,0.0
29.1,4.0,10.0,0.0
30.2,3.0,9.0,1.0
31.2,2.0,10.0,0.0
32.2,6.0,10.0,0.0
33.2,4.0,10.0,0.0
34.2,6.0,10.0,0.0
35.2,1.0,10.0,0.0
36.2,6.0,10.0,0.0
37.2,2.0,10.0,0.0
38.2,2.0,10.0,0.0
39.2,0.0,9.0,1.0
40.2,1.0,10.0,0.0
41.2,0.0,5.0,5.0
42.2,0.0,10.0,0.0
43.2,6.0,10.0,0.0
44.2,5.0,10.0,0.0
45.2,1.0,10.0,0.0
46.2,2.0,10.0,0.0
47.3,4.0,10.0,0.0
48.3,3.0,10.0,0.0
49.3,0.0,10.0,0.0
50.3,0.0,10.0,0.0
51.3,2.0,10.0,0.0
52.3,0.0,10.0,0.0
53.3,0.0,9.0,1.0
54.3,1.0,10.0,0.0
55.3,2.0,10.0,0.0
56.3,8.0,10.0,0.0
57.3,1.0,10.0,0.0
58.3,5.0,10.0,0.0
59.3,1.0,10.0,0.0
60.3,2.0,9.0,1.0
61.3,5.0,10.0,0.0
62.3,0.0,8.0,2.0
63.3,5.0,10.0,0.0
64.3,5.0,10.0,0.0
65.3,5.0,10.0,0.0
66.4,6.0,10.0,0.0
67.4,5.0,10.0,0.0
68.4,0.0,10.0,0.0
69.4,4.0,9.0,1.0
70.4,2.0,10.0,0.0
71.4,2.0,10.0,0.0
72.4,0.0,9.0,1.0
73.4,0.0,10.0,0.0
74.4,5.0,10.0,0.0
75.4,0.0,9.0,1.0
76.4,6.0,10.0,0.0
77.4,7.0,10.0,0.0
78.4,0.0,8.0,2.0
79.4,1.0,10.0,0.0
80.4,0.0,8.0,2.0
81.4,3.0,10.0,0.0
82.4,4.0,10.0,0.0
83.4,2.0,10.0,0.0
84.5,0.0,10.0,0.0
85.5,1.0,10.0,0.0
86.5,0.0,8.0,2.0
87.5,6.0,10.0,0.0
88.5,6.0,10.0,0.0
89.5,0.0,9.0,1.0
90.5,0.0,9.0,1.0
91.5,3.0,10.0,0.0
92.5,0.0,10.0,0.0
93.5,3.0,10.0,0.0
94.5,1.0,10.0,0.0
95.5,3.0,10.0,0.0
96.5,2.0,10.0,0.0
97.5,9.0,10.0,0.0
98.5,0.0,8.0,2.0
99.5,1.0,10.0,0.0
