t_s,pending,active,idle
0.0,0.0,0.0,2.0
1.0,0.0,0.0,2.0
2.0,0.0,0.0,2.0
3.0,0.0,0.0,2.0
4.0,0.0,0.0,2.0
5.0,0.0,0.0,2.0
6.0,0.0,0.0,2.0
7.0,0.0,0.0,2.0
8.0,0.0,0.0,2.0
9.1,0.0,0.0,2.0
10.1,0.0,0.0,2.0
11.1,0.0,0.0,2.0
12.1,0.0,0.0,2.0
13.1,0.0,0.0,2.0
14.1,0.0,2.0,0.0
15.1,10.0,2.0,0.0
16.1,23.0,2.0,0.0
17.1,31.0,2.0,0.0
18.1,42.0,2.0,0.0
19.1,42.0,2.0,0.0
20.1,39.0,2.0,0.0
21.2,39.0,2.0,0.0
22.2,41.0,2.0,0.0
23.2,39.0,2.0,0.0
24.2,40.0,2.0,0.0
25.2,41.0,2.0,0.0
26.2,39.0,2.0,0.0
27.2,40.0,2.0,0.0
28.2,40.0,2.0,0.0
29.2,42.0,2.0,0.0
30.2,40.0,2.0,0.0
31.2,39.0,2.0,0.0
32.2,40.0,2.0,0.0
33.3,41.0,2.0,0.0
34.3,40.0,2.0,0.0
35.3,38.0,2.0,0.0
36.3,41.0,2.0,0.0
37.3,40.0,2.0,0.0
38.3,41.0,2.0,0.0
39.3,40.0,2.0,0.0
40.3,39.0,2.0,0.0
41.3,42.0,2.0,0.0
42.3,38.0,2.0,0.0
43.3,40.0,2.0,0.0
44.3,40.0,2.0,0.0
45.3,40.0,2.0,0.0
46.3,39.0,2.0,0.0
47.3,40.0,2.0,0.0
48.3,41.0,2.0,0.0
49.4,38.0,2.0,0.0
50.4,40.0,2.0,0.0
51.4,41.0,2.0,0.0
52.4,41.0,2.0,0.0
53.4,42.0,2.0,0.0
54.4,39.0,2.0,0.0
55.4,42.0,2.0,0.0
56.4,39.0,2.0,0.0
57.4,40.0,2.0,0.0
58.4,42.0,2.0,0.0
59.4,38.0,2.0,0.0
60.4,40.0,2.0,0.0
61.4,42.0,2.0,0.0
62.4,41.0,2.0,0.0
63.4,40.0,2.0,0.0
64.4,41.0,2.0,0.0
65.5,40.0,2.0,0.0
66.5,39.0,2.0,0.0
67.5,39.0,2.0,0.0
68.5,41.0,2.0,0.0
69.5,41.0,2.0,0.0
70.5,40.0,2.0,0.0
71.5,40.0,2.0,0.0
72.5,40.0,2.0,0.0
73.5,40.0,2.0,0.0
74.5,38.0,2.0,0.0
75.5,41.0,2.0,0.0
76.5,39.0,2.0,0.0
77.5,41.0,2.0,0.0
78.5,40.0,2.0,0.0
79.5,39.0,2.0,0.0
80.6,38.0,2.0,0.0
81.6,39.0,2.0,0.0
82.6,39.0,2.0,0.0
83.6,39.0,2.0,0.0
84.6,40.0,2.0,0.0
85.6,40.0,2.0,0.0
86.6,42.0,2.0,0.0
87.6,40.0,2.0,0.0
88.6,38.0,2.0,0.0
89.6,40.0,2.0,0.0
90.6,41.0,2.0,0.0
91.6,41.0,2.0,0.0
92.6,41.0,2.0,0.0
93.6,41.0,2.0,0.0
94.6,38.0,2.0,0.0
95.6,39.0,2.0,0.0
96.6,38.0,2.0,0.0
97.6,41.0,2.0,0.0
98.6,39.0,2.0,0.0
99.7,38.0,2.0,0.0
