t_s,pending,active,idle
0.0,0.0,0.0,20.0
1.0,0.0,0.0,20.0
2.0,0.0,0.0,20.0
3.0,0.0,0.0,20.0
4.0,0.0,0.0,20.0
5.0,0.0,0.0,20.0
6.0,0.0,0.0,20.0
7.0,0.0,0.0,20.0
8.1,0.0,0.0,20.0
9.1,0.0,0.0,20.0
10.1,0.0,0.0,20.0
11.1,0.0,6.0,14.0
12.1,0.0,9.0,11.0
13.1,0.0,7.0,13.0
14.1,0.0,12.0,8.0
15.1,0.0,8.0,12.0
16.1,0.0,14.0,6.0
17.1,0.0,6.0,14.0
18.1,0.0,11.0,9.0
19.1,0.0,11.0,9.0
20.1,0.0,5.0,15.0
21.1,0.0,12.0,8.0
22.1,0.0,9.0,11.0
23.1,0.0,6.0,14.0
24.2,0.0,13.0,7.0
25.2,0.0,12.0,8.0
26.2,0.0,13.0,7.0
27.2,0.0,14.0,6.0
28.2,0.0,8.0,12.0
29.2,0.0,11.0,9.0
30.2,0.0,8.0,12.0
31.2,0.0,14.0,6.0
32.2,0.0,8.0,12.0
33.2,0.0,11.0,9.0
34.2,0.0,11.0,9.0
35.2,0.0,4.0,16.0
36.2,0.0,13.0,7.0
37.3,0.0,13.0,7.0
38.3,0.0,11.0,9.0
39.3,0.0,12.0,8.0
40.3,0.0,8.0,12.0
41.3,0.0,9.0,11.0
42.3,0.0,12.0,8.0
43.3,0.0,10.0,10.0
44.3,0.0,7.0,13.0
45.3,0.0,8.0,12.0
46.3,0.0,7.0,13.0
47.3,0.0,13.0,7.0
48.3,0.0,8.0,12.0
49.3,0.0,9.0,11.0
50.3,0.0,10.0,10.0
51.4,0.0,12.0,8.0
52.4,0.0,10.0,10.0
53.4,0.0,9.0,11.0
54.4,0.0,13.0,7.0
55.4,0.0,10.0,10.0
56.4,0.0,6.0,14.0
57.4,0.0,9.0,11.0
58.4,0.0,8.0,12.0
59.4,0.0,12.0,8.0
60.4,0.0,8.0,12.0
61.4,0.0,12.0,8.0
62.4,0.0,8.0,12.0
63.4,0.0,8.0,12.0
64.5,0.0,11.0,9.0
65.5,0.0,8.0,12.0
66.5,0.0,10.0,10.0
67.5,0.0,15.0,5.0
68.5,0.0,10.0,10.0
69.5,0.0,11.0,9.0
70.5,0.0,6.0,14.0
71.5,0.0,13.0,7.0
72.5,0.0,8.0,12.0
73.5,0.0,7.0,13.0
74.5,0.0,6.0,14.0
75.5,0.0,9.0,11.0
76.6,0.0,13.0,7.0
77.6,0.0,8.0,12.0
78.6,0.0,13.0,7.0
79.6,0.0,12.0,8.0
80.6,0.0,3.0,17.0
81.6,0.0,9.0,11.0
82.6,0.0,7.0,13.0
83.6,0.0,11.0,9.0
84.6,0.0,8.0,12.0
85.6,0.0,9.0,11.0
86.6,0.0,6.0,14.0
87.6,0.0,9.0,11.0
88.6,0.0,10.0,10.0
89.6,0.0,12.0,8.0
90.6,0.0,9.0,11.0
91.6,0.0,7.0,13.0
92.7,0.0,16.0,4.0
93.7,0.0,12.0,8.0
94.7,0.0,9.0,11.0
95.7,0.0,8.0,12.0
96.7,0.0,8.0,12.0
97.7,0.0,12.0,8.0
98.7,0.0,11.0,9.0
99.7,0.0,0.0,20.0
