t_s,pending,active,idle
0.0,0.0,0.0,10.0
1.0,0.0,0.0,10.0
2.0,0.0,0.0,10.0
3.0,0.0,0.0,10.0
4.0,0.0,0.0,10.0
5.1,0.0,0.0,10.0
6.1,0.0,0.0,10.0
7.1,0.0,0.0,10.0
8.1,0.0,0.0,10.0
9.1,0.0,0.0,10.0
10.1,0.0,0.0,10.0
11.1,0.0,0.0,10.0
12.1,0.0,0.0,10.0
13.1,0.0,0.0,10.0
14.1,0.0,0.0,10.0
15.1,0.0,0.0,10.0
16.2,0.0,2.0,8.0
17.2,0.0,2.0,8.0
18.2,0.0,6.0,4.0
19.2,0.0,7.0,3.0
20.2,2.0,10.0,0.0
21.2,6.0,10.0,0.0
22.2,2.0,10.0,0.0
23.2,2.0,10.0,0.0
24.2,0.0,9.0,1.0
25.2,4.0,10.0,0.0
26.3,2.0,10.0,0.0
27.3,3.0,10.0,0.0
28.3,0.0,6.0,4.0
29.3,1.0,10.0,0.0
30.3,3.0,10.0,0.0
31.3,5.0,10.0,0.0
32.3,3.0,10.0,0.0
33.3,3.0,10.0,0.0
34.3,0.0,10.0,0.0
35.3,4.0,10.0,0.0
36.3,3.0,10.0,0.0
37.3,5.0,10.0,0.0
38.4,0.0,10.0,0.0
39.4,3.0,10.0,0.0
40.4,1.0,10.0,0.0
41.4,9.0,10.0,0.0
42.4,1.0,10.0,0.0
43.4,4.0,10.0,0.0
44.4,1.0,10.0,0.0
45.4,3.0,10.0,0.0
46.4,2.0,10.0,0.0
47.4,2.0,10.0,0.0
48.4,0.0,8.0,2.0
49.5,4.0,10.0,0.0
50.5,7.0,10.0,0.0
51.5,3.0,10.0,0.0
52.5,6.0,10.0,0.0
53.5,7.0,10.0,0.0
54.5,3.0,10.0,0.0
55.5,0.0,8.0,2.0
56.5,0.0,9.0,1.0
57.5,2.0,10.0,0.0
58.5,3.0,10.0,0.0
59.5,7.0,10.0,0.0
60.5,0.0,9.0,1.0
61.6,2.0,10.0,0.0
62.6,3.0,10.0,0.0
63.6,0.0,7.0,3.0
64.6,0.0,9.0,1.0
65.6,0.0,8.0,2.0
66.6,5.0,10.0,0.0
67.6,0.0,10.0,0.0
68.6,0.0,8.0,2.0
69.6,2.0,10.0,0.0
70.6,4.0,10.0,0.0
71.6,0.0,10.0,0.0
72.6,2.0,10.0,0.0
73.7,0.0,10.0,0.0
74.7,4.0,10.0,0.0
75.7,2.0,10.0,0.0
76.7,0.0,9.0,1.0
77.7,2.0,10.0,0.0
78.7,0.0,9.0,1.0
79.7,5.0,10.0,0.0
80.7,1.0,10.0,0.0
81.7,2.0,9.0,1.0
82.7,2.0,10.0,0.0
83.7,6.0,10.0,0.0
84.7,2.0,10.0,0.0
85.8,3.0,10.0,0.0
86.8,0.0,10.0,0.0
87.8,4.0,10.0,0.0
88.8,3.0,10.0,0.0
89.8,5.0,10.0,0.0
90.8,5.0,10.0,0.0
91.8,2.0,10.0,0.0
92.8,0.0,9.0,1.0
93.8,6.0,10.0,0.0
94.8,4.0,10.0,0.0
95.8,6.0,10.0,0.0
96.8,4.0,10.0,0.0
97.8,1.0,10.0,0.0
98.8,1.0,10.0,0.0
99.8,3.0,10.0,0.0
100.8,0.0,8.0,2.0
101.9,2.0,10.0,0.0
102.9,0.0,10.0,0.0
103.9,4.0,10.0,0.0
104.9,4.0,10.0,0.0
105.9,0.0,0.0,10.0
106.9,0.0,0.0,10.0
107.9,0.0,0.0,10.0
108.9,0.0,0.0,10.0
109.9,0.0,0.0,10.0
110.9,0.0,0.0,10.0
111.9,0.0,0.0,10.0
112.9,0.0,0.0,10.0
113.9,0.0,0.0,10.0
114.9,0.0,0.0,10.0
115.9,0.0,0.0,10.0
116.9,0.0,0.0,10.0
118.0,0.0,0.0,10.0
119.0,0.0,0.0,10.0
120.0,0.0,0.0,10.0
